Review_ID,Rating,Year_Month,Reviewer_Location,Branch,continent
140350924,5,2011-10,United Kingdom,Disneyland_Paris,Europe
122787779,5,2012-1,United States,Disneyland_California,Americas
247285597,5,missing,India,Disneyland_HongKong,Asia
307732137,4,2015-8,Isle of Man,Disneyland_Paris,Europe
131820308,5,2012-6,United States,Disneyland_California,Americas
230104643,4,2014-2,Norway,Disneyland_Paris,Europe
166904805,5,2013-6,Australia,Disneyland_Paris,Oceania
126305595,4,missing,United States,Disneyland_California,Americas
256071635,5,2015-1,United Kingdom,Disneyland_California,Europe
500088490,5,2017-2,Indonesia,Disneyland_HongKong,Asia
373907819,5,2016-5,Indonesia,Disneyland_HongKong,Asia
188838852,4,missing,United States,Disneyland_California,Americas
452216756,4,2017-1,United States,Disneyland_California,Americas
339940928,4,2016-1,United States,Disneyland_California,Americas
208553735,4,2014-5,United Kingdom,Disneyland_Paris,Europe
358042488,4,2016-3,Canada,Disneyland_California,Americas
202495422,5,2013-7,New Zealand,Disneyland_California,Oceania
263134298,3,2015-3,United Kingdom,Disneyland_Paris,Europe
530644599,3,2017-10,United States,Disneyland_HongKong,Americas
239728020,3,2014-1,Singapore,Disneyland_HongKong,Asia
367732777,5,2015-11,India,Disneyland_HongKong,Asia
621719662,5,2018-9,India,Disneyland_HongKong,Asia
151195591,5,missing,Australia,Disneyland_California,Oceania
370737871,5,2016-5,Cyprus,Disneyland_Paris,Asia
387558771,3,2016-4,Hong Kong,Disneyland_HongKong,Asia
633913835,4,2018-10,Australia,Disneyland_California,Oceania
205422832,3,2014-4,Ireland,Disneyland_Paris,Europe
543171109,3,2017-11,United States,Disneyland_California,Americas
119964141,3,2011-6,United States,Disneyland_HongKong,Americas
397920737,4,2016-3,Malaysia,Disneyland_HongKong,Asia
206917235,5,2013-6,United States,Disneyland_California,Americas
149261862,5,2012-6,United States,Disneyland_Paris,Americas
352113078,5,2016-2,United States,Disneyland_California,Americas
222706709,4,2014-8,United Kingdom,Disneyland_California,Europe
322432579,5,2015-5,Hungary,Disneyland_Paris,Europe
408806140,5,2015-10,United States,Disneyland_California,Americas
165768057,4,2013-6,United Kingdom,Disneyland_California,Europe
441148650,3,2016-11,United States,Disneyland_California,Americas
141749016,4,2012-9,United Kingdom,Disneyland_Paris,Europe
320392458,4,2015-10,United States,Disneyland_California,Americas
221403964,5,2014-5,Canada,Disneyland_California,Americas
587777259,1,2018-6,United Kingdom,Disneyland_Paris,Europe
142528405,4,2012-8,Australia,Disneyland_California,Oceania
549347032,5,2017-12,United Kingdom,Disneyland_Paris,Europe
527632846,3,2017-9,Canada,Disneyland_California,Americas
128339205,4,2011-5,United Kingdom,Disneyland_California,Europe
460299766,4,2016-6,United States,Disneyland_Paris,Americas
566249459,2,2018-3,Switzerland,Disneyland_Paris,Europe
361919794,4,2016-3,United States,Disneyland_California,Americas
179181646,5,2013-9,United Kingdom,Disneyland_Paris,Europe
264271830,3,2015-4,United States,Disneyland_Paris,Americas
306457165,5,2015-8,United States,Disneyland_California,Americas
208164515,2,2014-5,Australia,Disneyland_Paris,Oceania
150419014,5,2012-11,United Kingdom,Disneyland_Paris,Europe
176903570,5,2013-6,Nepal,Disneyland_HongKong,Asia
127370285,5,2012-3,United States,Disneyland_California,Americas
327028351,5,2015-11,New Zealand,Disneyland_HongKong,Oceania
401967111,4,2016-8,Singapore,Disneyland_HongKong,Asia
120354530,5,2011-10,United States,Disneyland_California,Americas
180347805,4,2013-4,United Kingdom,Disneyland_Paris,Europe
82508536,3,missing,Australia,Disneyland_California,Oceania
191221392,5,2013-10,Philippines,Disneyland_HongKong,Asia
120796288,5,2011-11,United Kingdom,Disneyland_Paris,Europe
143094661,5,2012-10,Australia,Disneyland_California,Oceania
428590530,5,2016-10,United States,Disneyland_California,Americas
447644019,2,2016-12,United States,Disneyland_California,Americas
596877172,2,2018-7,United States,Disneyland_California,Americas
150513332,5,2013-1,United States,Disneyland_California,Americas
166753649,5,2013-7,United States,Disneyland_California,Americas
442703040,4,2016-12,United Kingdom,Disneyland_Paris,Europe
190138679,5,2013-12,Netherlands,Disneyland_Paris,Europe
588914729,5,2018-6,United Kingdom,Disneyland_Paris,Europe
323457187,4,2015-10,United Kingdom,Disneyland_Paris,Europe
147188695,4,2012-12,Netherlands,Disneyland_Paris,Europe
144657662,5,2012-10,Canada,Disneyland_California,Americas
144214225,3,2012-10,United Kingdom,Disneyland_Paris,Europe
462781246,5,2017-2,United Kingdom,Disneyland_Paris,Europe
610624351,5,2018-8,United Kingdom,Disneyland_Paris,Europe
262785620,4,2015-2,United States,Disneyland_California,Americas
301042575,5,2015-8,United States,Disneyland_California,Americas
188620349,4,2013-11,Australia,Disneyland_California,Oceania
350093762,4,2016-2,United Kingdom,Disneyland_Paris,Europe
307275049,4,2015-9,United States,Disneyland_California,Americas
279471907,4,2015-6,India,Disneyland_Paris,Asia
167317068,5,2013-6,United States,Disneyland_California,Americas
332021893,5,2015-12,Netherlands,Disneyland_Paris,Europe
564833278,5,2018-3,United Kingdom,Disneyland_Paris,Europe
373628664,5,2016-4,Ireland,Disneyland_Paris,Europe
631655704,5,2018-11,India,Disneyland_HongKong,Asia
133277224,5,2012-6,India,Disneyland_Paris,Asia
614021288,5,2017-11,Indonesia,Disneyland_HongKong,Asia
360407585,4,2016-3,United Kingdom,Disneyland_HongKong,Europe
463118256,2,2017-2,Thailand,Disneyland_HongKong,Asia
322913578,5,2015-9,Australia,Disneyland_California,Oceania
355487062,3,2016-3,United Kingdom,Disneyland_Paris,Europe
253749406,4,2015-2,Mexico,Disneyland_California,Americas
469308037,5,2017-3,Singapore,Disneyland_HongKong,Asia
158128630,4,2012-10,Canada,Disneyland_California,Americas
507659094,5,2017-2,United Kingdom,Disneyland_Paris,Europe
574028921,5,2018-4,United Kingdom,Disneyland_Paris,Europe
610988959,5,2018-8,United States,Disneyland_California,Americas
283071843,4,2015-3,Australia,Disneyland_HongKong,Oceania
364723625,1,2015-5,United Kingdom,Disneyland_HongKong,Europe
293937063,5,2015-7,United States,Disneyland_California,Americas
133309894,5,2012-6,United States,Disneyland_California,Americas
235286655,4,2014-10,United States,Disneyland_California,Americas
250333008,5,missing,Canada,Disneyland_California,Americas
453296446,3,2016-6,Philippines,Disneyland_HongKong,Asia
393314822,5,2016-7,United States,Disneyland_California,Americas
365432450,5,2016-4,United Kingdom,Disneyland_Paris,Europe
190895471,4,2014-1,Australia,Disneyland_HongKong,Oceania
496043949,3,2017-6,Australia,Disneyland_California,Oceania
331555246,5,2015-11,Malaysia,Disneyland_California,Asia
365857029,5,2016-4,Canada,Disneyland_California,Americas
536970600,5,2017-8,United Kingdom,Disneyland_Paris,Europe
132215783,3,2012-5,Belgium,Disneyland_Paris,Europe
155855848,5,2013-3,New Zealand,Disneyland_HongKong,Oceania
492608247,5,2017-5,Australia,Disneyland_HongKong,Oceania
448912054,5,2016-12,Romania,Disneyland_Paris,Europe
221091485,4,2014-2,United Kingdom,Disneyland_Paris,Europe
271731466,4,2015-4,India,Disneyland_HongKong,Asia
270543803,3,2015-4,Solomon Islands,Disneyland_Paris,Oceania
259195866,4,2014-11,United States,Disneyland_California,Americas
247201922,5,2014-12,India,Disneyland_HongKong,Asia
584548536,4,2018-5,United Kingdom,Disneyland_Paris,Europe
247102041,1,missing,United States,Disneyland_California,Americas
340329155,5,2015-12,United States,Disneyland_California,Americas
130784901,3,2011-6,Malaysia,Disneyland_Paris,Asia
352917167,5,2015-5,Singapore,Disneyland_HongKong,Asia
143780327,4,2012-10,United Kingdom,Disneyland_Paris,Europe
659394961,5,2019-3,United States,Disneyland_California,Americas
480663313,4,2017-4,United States,Disneyland_California,Americas
483396050,5,2016-10,Hong Kong,Disneyland_HongKong,Asia
266604604,5,2015-4,United Kingdom,Disneyland_California,Europe
219066374,3,2014-7,United States,Disneyland_California,Americas
194516379,5,2014-2,United Kingdom,Disneyland_Paris,Europe
151020790,5,2012-12,United Kingdom,Disneyland_California,Europe
130717250,5,2012-4,Netherlands,Disneyland_HongKong,Europe
322731757,4,2015-8,United Kingdom,Disneyland_Paris,Europe
291938394,4,2015-4,India,Disneyland_Paris,Asia
152791998,5,2012-12,United Kingdom,Disneyland_California,Europe
212946499,5,2014-4,United States,Disneyland_California,Americas
632175576,4,2018-11,Netherlands,Disneyland_Paris,Europe
149500889,5,2013-1,Malta,Disneyland_Paris,Europe
468809958,4,2017-3,South Korea,Disneyland_HongKong,Asia
227075489,2,2014-8,United Kingdom,Disneyland_California,Europe
187583327,5,2013-12,United States,Disneyland_California,Americas
391763104,3,2016-7,Canada,Disneyland_California,Americas
473981090,4,2017-4,United States,Disneyland_Paris,Americas
444764026,4,2016-4,United States,Disneyland_Paris,Americas
453468674,3,2016-11,United States,Disneyland_HongKong,Americas
407716954,5,2016-3,United States,Disneyland_California,Americas
576005753,3,2018-4,India,Disneyland_HongKong,Asia
220507359,5,missing,United Kingdom,Disneyland_Paris,Europe
156081834,5,2013-1,United States,Disneyland_California,Americas
264181894,4,2014-7,United States,Disneyland_HongKong,Americas
6744400,5,missing,United Kingdom,Disneyland_Paris,Europe
583299566,4,2018-4,Ireland,Disneyland_Paris,Europe
229865412,5,2014-9,Canada,Disneyland_California,Americas
160854575,4,2013-5,Singapore,Disneyland_HongKong,Asia
143964460,3,2011-12,Malaysia,Disneyland_HongKong,Asia
290766842,4,2015-7,Canada,Disneyland_California,Americas
411561138,5,2016-7,New Zealand,Disneyland_California,Oceania
544930013,5,2017-7,India,Disneyland_HongKong,Asia
468507370,3,2017-3,Malaysia,Disneyland_HongKong,Asia
205695307,2,2014-4,United States,Disneyland_California,Americas
374071302,4,2016-5,Singapore,Disneyland_HongKong,Asia
455094548,5,2017-1,United States,Disneyland_California,Americas
141706907,3,2012-9,Australia,Disneyland_California,Oceania
386949562,5,2015-12,Australia,Disneyland_HongKong,Oceania
384142071,5,2016-5,India,Disneyland_California,Asia
225834053,1,2014-8,United Arab Emirates,Disneyland_Paris,Asia
565757378,3,2017-8,United States,Disneyland_California,Americas
232906112,5,2014-9,United States,Disneyland_California,Americas
277320193,5,2015-5,United States,Disneyland_California,Americas
243957944,5,2014-12,United States,Disneyland_California,Americas
151350719,4,2013-1,China,Disneyland_HongKong,Asia
321492837,5,2015-6,Hong Kong,Disneyland_HongKong,Asia
378534929,4,2015-10,United Kingdom,Disneyland_Paris,Europe
615852209,5,2018-9,New Zealand,Disneyland_California,Oceania
448945584,5,2017-1,United States,Disneyland_California,Americas
603690331,5,2017-9,Indonesia,Disneyland_HongKong,Asia
528316954,3,2017-9,United States,Disneyland_California,Americas
352022670,4,2016-2,United Kingdom,Disneyland_Paris,Europe
238547499,5,2014-11,United States,Disneyland_California,Americas
368634120,4,2015-11,Australia,Disneyland_HongKong,Oceania
272540858,5,2014-10,Canada,Disneyland_California,Americas
587328974,3,2018-6,United Kingdom,Disneyland_Paris,Europe
455359459,4,2017-1,China,Disneyland_HongKong,Asia
172710445,5,2013-8,United Kingdom,Disneyland_Paris,Europe
319576968,5,2015-10,United Kingdom,Disneyland_Paris,Europe
122715567,2,2011-5,Philippines,Disneyland_HongKong,Asia
220016026,4,2014-2,United Kingdom,Disneyland_Paris,Europe
456623878,5,2017-1,Singapore,Disneyland_Paris,Asia
371279577,3,2016-5,United States,Disneyland_California,Americas
127499273,4,2012-3,United States,Disneyland_California,Americas
517840984,4,2017-8,India,Disneyland_Paris,Asia
126913795,4,2012-3,United States,Disneyland_California,Americas
132540624,5,2011-8,United Kingdom,Disneyland_Paris,Europe
169799037,5,2013-7,United States,Disneyland_California,Americas
223547103,3,2014-8,United Kingdom,Disneyland_California,Europe
142354261,5,2012-7,United States,Disneyland_California,Americas
188919880,5,2013-12,Ireland,Disneyland_Paris,Europe
265531028,5,2015-3,Australia,Disneyland_California,Oceania
340076927,4,2016-1,United States,Disneyland_California,Americas
162246018,5,2013-4,New Zealand,Disneyland_California,Oceania
22709067,5,missing,Brunei,Disneyland_HongKong,Asia
551035912,5,2018-1,Canada,Disneyland_California,Americas
274988841,3,2015-5,United Kingdom,Disneyland_Paris,Europe
627442076,5,2018-10,United States,Disneyland_California,Americas
164401450,5,2013-5,United States,Disneyland_California,Americas
455702690,5,2016-6,Canada,Disneyland_Paris,Americas
504318613,4,2016-8,Kuwait,Disneyland_Paris,Asia
459840977,3,2016-8,United States,Disneyland_California,Americas
385768975,5,2016-6,Australia,Disneyland_California,Oceania
238197597,5,2014-10,United States,Disneyland_California,Americas
128220456,3,missing,Australia,Disneyland_Paris,Oceania
290223650,4,2015-7,United States,Disneyland_California,Americas
23877236,5,missing,Australia,Disneyland_California,Oceania
347288035,4,2016-2,Norway,Disneyland_Paris,Europe
477918603,1,2017-4,United Kingdom,Disneyland_Paris,Europe
225544309,5,2014-8,United States,Disneyland_California,Americas
145627255,5,2012-11,United States,Disneyland_California,Americas
246496902,4,2014-10,United Kingdom,Disneyland_Paris,Europe
286010713,3,2014-9,France,Disneyland_Paris,Europe
120102635,5,2011-2,Philippines,Disneyland_HongKong,Asia
13851787,5,missing,United Kingdom,Disneyland_Paris,Europe
150331535,5,2013-1,Malaysia,Disneyland_HongKong,Asia
54702455,3,missing,United States,Disneyland_California,Americas
229671356,5,missing,United States,Disneyland_Paris,Americas
396231068,4,2016-7,India,Disneyland_HongKong,Asia
437900169,4,2016-11,United Kingdom,Disneyland_Paris,Europe
554502465,4,2018-1,Singapore,Disneyland_HongKong,Asia
292443198,2,2015-7,United States,Disneyland_California,Americas
237554498,4,2014-10,United States,Disneyland_California,Americas
141544468,5,2012-9,Australia,Disneyland_HongKong,Oceania
373932840,4,2016-5,Australia,Disneyland_California,Oceania
182707440,5,2013-10,United States,Disneyland_California,Americas
447147624,3,2016-12,United Kingdom,Disneyland_Paris,Europe
375827477,5,2016-5,Denmark,Disneyland_California,Europe
285958324,3,2015-7,United Kingdom,Disneyland_Paris,Europe
488550912,5,2017-4,United States,Disneyland_Paris,Americas
401729639,5,2015-9,India,Disneyland_HongKong,Asia
255315647,4,2014-3,Canada,Disneyland_HongKong,Americas
594776138,4,2018-7,United States,Disneyland_HongKong,Americas
395667205,5,2016-7,Brazil,Disneyland_California,Americas
151043682,5,2012-12,Australia,Disneyland_California,Oceania
167860170,2,2012-8,United States,Disneyland_California,Americas
280508066,5,2014-7,United States,Disneyland_California,Americas
247794660,5,2014-3,United Kingdom,Disneyland_Paris,Europe
177661010,3,2013-9,Australia,Disneyland_Paris,Oceania
248148650,4,2014-12,United Kingdom,Disneyland_California,Europe
394856578,5,2016-7,United States,Disneyland_California,Americas
123869200,4,2011-12,United States,Disneyland_California,Americas
126165837,5,2012-3,Malaysia,Disneyland_HongKong,Asia
173433163,5,2013-8,United States,Disneyland_California,Americas
655581404,5,2019-2,United Kingdom,Disneyland_Paris,Europe
312572297,4,2015-8,India,Disneyland_HongKong,Asia
119081391,5,2011-8,United States,Disneyland_California,Americas
271798527,5,2015-5,United Kingdom,Disneyland_Paris,Europe
121271927,2,2011-2,Hong Kong,Disneyland_HongKong,Asia
180166022,3,2013-9,Australia,Disneyland_Paris,Oceania
119765934,4,2011-9,United Kingdom,Disneyland_California,Europe
422036878,3,2016-9,United States,Disneyland_California,Americas
238967965,3,2014-10,New Zealand,Disneyland_California,Oceania
125652962,5,2011-6,United Kingdom,Disneyland_Paris,Europe
228035796,4,2014-9,Portugal,Disneyland_Paris,Europe
590307000,4,2018-6,United Kingdom,Disneyland_Paris,Europe
251648713,5,2014-7,United States,Disneyland_HongKong,Americas
365766126,5,2016-4,United Kingdom,Disneyland_Paris,Europe
558569578,5,2017-8,United Kingdom,Disneyland_Paris,Europe
428552395,4,2016-10,United States,Disneyland_California,Americas
176727114,2,2013-8,Australia,Disneyland_Paris,Oceania
412369807,2,2016-8,United Kingdom,Disneyland_Paris,Europe
651295698,5,2019-2,United States,Disneyland_California,Americas
364747599,5,2016-4,Thailand,Disneyland_HongKong,Asia
261084468,3,2014-12,United States,Disneyland_California,Americas
422710612,5,2016-9,United Kingdom,Disneyland_Paris,Europe
46295035,5,missing,United States,Disneyland_California,Americas
122420984,5,2011-12,United Kingdom,Disneyland_Paris,Europe
138841448,3,2012-5,Canada,Disneyland_California,Americas
147610149,5,2012-12,United Kingdom,Disneyland_Paris,Europe
274167042,4,2015-5,Germany,Disneyland_Paris,Europe
386362288,4,2016-6,Australia,Disneyland_HongKong,Oceania
213900993,5,2014-7,United States,Disneyland_California,Americas
444692343,4,2016-10,Germany,Disneyland_HongKong,Europe
375810190,4,2016-5,Australia,Disneyland_California,Oceania
125142800,3,2011-3,Netherlands,Disneyland_HongKong,Europe
283964304,4,2015-6,United Kingdom,Disneyland_California,Europe
422295138,5,2016-9,Philippines,Disneyland_HongKong,Asia
295373676,5,2015-7,United States,Disneyland_California,Americas
404408223,5,2016-7,India,Disneyland_HongKong,Asia
549600007,5,2017-12,United States,Disneyland_California,Americas
155862298,4,2013-3,Philippines,Disneyland_HongKong,Asia
462474645,4,2017-2,United Kingdom,Disneyland_Paris,Europe
458291279,5,2017-2,United Kingdom,Disneyland_Paris,Europe
126786437,5,2012-1,New Zealand,Disneyland_California,Oceania
144674589,4,2012-10,United Kingdom,Disneyland_Paris,Europe
325910204,5,2015-11,United Kingdom,Disneyland_Paris,Europe
290891284,5,2014-8,United Kingdom,Disneyland_Paris,Europe
134588307,5,2012-5,Philippines,Disneyland_HongKong,Asia
461300837,5,2017-2,United States,Disneyland_California,Americas
369414555,5,2016-4,Australia,Disneyland_HongKong,Oceania
144025530,3,2012-10,United States,Disneyland_Paris,Americas
127061419,5,2012-3,United Kingdom,Disneyland_Paris,Europe
142439267,4,2012-9,Australia,Disneyland_California,Oceania
545655738,5,2017-11,United States,Disneyland_California,Americas
314181524,5,2015-8,Canada,Disneyland_California,Americas
228016669,4,2014-8,Canada,Disneyland_California,Americas
591854377,4,2018-5,United States,Disneyland_California,Americas
608557842,5,2018-8,United States,Disneyland_California,Americas
229521677,5,2014-9,Philippines,Disneyland_HongKong,Asia
182783423,5,2013-8,United Kingdom,Disneyland_California,Europe
517293541,5,2017-7,Greece,Disneyland_California,Europe
593600462,2,2018-7,United States,Disneyland_California,Americas
181637451,5,2013-10,India,Disneyland_HongKong,Asia
540259438,4,2017-10,Australia,Disneyland_HongKong,Oceania
441233165,3,2016-11,Spain,Disneyland_HongKong,Europe
233298542,2,2014-10,United States,Disneyland_California,Americas
405653733,3,2016-8,Canada,Disneyland_California,Americas
146140204,2,2012-11,United Kingdom,Disneyland_Paris,Europe
306161974,5,2015-7,United States,Disneyland_California,Americas
527208883,5,2017-9,Indonesia,Disneyland_HongKong,Asia
338344414,3,2015-6,United States,Disneyland_Paris,Americas
190893405,4,2013-12,Australia,Disneyland_HongKong,Oceania
287981807,5,2015-7,United Kingdom,Disneyland_Paris,Europe
524512869,5,2017-9,Saudi Arabia,Disneyland_HongKong,Asia
588057419,5,2017-11,Canada,Disneyland_California,Americas
500773024,5,2017-7,United Kingdom,Disneyland_HongKong,Europe
213813824,5,2014-6,United States,Disneyland_California,Americas
484757664,5,2017-4,United States,Disneyland_California,Americas
585326692,4,2018-6,United Kingdom,Disneyland_Paris,Europe
211732121,4,2014-6,United States,Disneyland_California,Americas
160237397,5,2013-3,Australia,Disneyland_California,Oceania
267017986,4,2015-4,United States,Disneyland_California,Americas
587107992,5,2018-5,Australia,Disneyland_HongKong,Oceania
135179720,4,2012-7,United Kingdom,Disneyland_Paris,Europe
355627606,5,2016-3,United States,Disneyland_California,Americas
336528305,4,2015-12,Indonesia,Disneyland_HongKong,Asia
581793256,4,2017-12,United Kingdom,Disneyland_HongKong,Europe
551168079,3,2018-1,United Kingdom,Disneyland_Paris,Europe
476634090,1,2017-4,United States,Disneyland_California,Americas
512395501,4,2017-7,United States,Disneyland_HongKong,Americas
5371689,4,missing,United States,Disneyland_California,Americas
547200651,1,2017-12,United Kingdom,Disneyland_HongKong,Europe
3215359,2,missing,United Kingdom,Disneyland_Paris,Europe
209667790,5,2014-3,Philippines,Disneyland_HongKong,Asia
129993463,4,2012-4,United States,Disneyland_California,Americas
260835098,2,2015-3,United States,Disneyland_California,Americas
417651428,4,2016-9,United States,Disneyland_California,Americas
226010300,5,2014-8,Lebanon,Disneyland_California,Asia
548141958,5,2017-6,United Arab Emirates,Disneyland_Paris,Asia
530378370,3,2017-10,United States,Disneyland_California,Americas
268217597,4,2014-12,India,Disneyland_HongKong,Asia
286944979,5,2014-10,United States,Disneyland_California,Americas
184823365,4,2012-12,United Kingdom,Disneyland_Paris,Europe
360055856,4,2016-3,United Kingdom,Disneyland_California,Europe
285788710,4,2015-6,United States,Disneyland_California,Americas
465707625,4,2017-2,Australia,Disneyland_HongKong,Oceania
186473585,5,2013-11,United States,Disneyland_California,Americas
203186236,1,2014-4,United States,Disneyland_California,Americas
361585489,1,2016-3,New Zealand,Disneyland_California,Oceania
343513229,5,2015-11,United Kingdom,Disneyland_Paris,Europe
599710773,2,2018-7,United States,Disneyland_California,Americas
171863362,4,2013-7,Netherlands,Disneyland_California,Europe
130576938,5,2012-5,United States,Disneyland_Paris,Americas
205079934,3,missing,United Kingdom,Disneyland_HongKong,Europe
291621075,2,2015-7,Indonesia,Disneyland_Paris,Asia
286409502,5,2015-6,United Kingdom,Disneyland_Paris,Europe
338843363,4,2015-12,Hong Kong,Disneyland_Paris,Asia
361591576,1,2016-3,United Kingdom,Disneyland_Paris,Europe
236354664,5,2014-10,United Kingdom,Disneyland_California,Europe
291519089,5,2014-8,United States,Disneyland_Paris,Americas
118734193,4,2011-9,Greece,Disneyland_Paris,Europe
240382495,5,2014-10,United Kingdom,Disneyland_Paris,Europe
224897618,5,2014-8,United Kingdom,Disneyland_Paris,Europe
175919445,2,2013-8,Canada,Disneyland_California,Americas
391387140,5,2016-7,United Kingdom,Disneyland_Paris,Europe
568396761,4,2018-3,United States,Disneyland_HongKong,Americas
412824768,5,2016-8,United Kingdom,Disneyland_Paris,Europe
555204939,5,2018-1,Australia,Disneyland_California,Oceania
670099231,4,2019-4,Australia,Disneyland_HongKong,Oceania
141768851,5,2012-9,Canada,Disneyland_California,Americas
164466437,4,2013-6,United Kingdom,Disneyland_Paris,Europe
314361345,3,2015-9,United Kingdom,Disneyland_California,Europe
175411230,4,2013-8,Guam,Disneyland_HongKong,Oceania
667072981,3,2019-3,Australia,Disneyland_HongKong,Oceania
214734985,4,2014-7,United States,Disneyland_Paris,Americas
169805773,5,2013-7,United States,Disneyland_California,Americas
436838622,5,2016-10,India,Disneyland_HongKong,Asia
145493545,4,2012-11,Canada,Disneyland_California,Americas
355456104,5,2016-3,Australia,Disneyland_California,Oceania
248684838,5,2015-1,United Kingdom,Disneyland_Paris,Europe
124231754,5,2011-12,United States,Disneyland_California,Americas
226456060,5,2014-7,United States,Disneyland_California,Americas
239998722,4,2014-8,United States,Disneyland_California,Americas
219701769,2,2014-7,Denmark,Disneyland_Paris,Europe
337112704,2,2016-1,United Arab Emirates,Disneyland_Paris,Asia
297472000,4,2015-7,United States,Disneyland_Paris,Americas
149419922,4,2013-1,Philippines,Disneyland_HongKong,Asia
594600472,5,2018-5,United Kingdom,Disneyland_Paris,Europe
101106626,5,2011-3,United States,Disneyland_California,Americas
247156759,2,2015-1,United Kingdom,Disneyland_Paris,Europe
135638898,5,2012-7,United States,Disneyland_California,Americas
124797702,3,2011-4,Hong Kong,Disneyland_HongKong,Asia
450209879,4,2017-1,United States,Disneyland_California,Americas
647676696,5,2019-1,United States,Disneyland_California,Americas
205290727,4,missing,Indonesia,Disneyland_HongKong,Asia
484377833,5,2016-11,United Kingdom,Disneyland_Paris,Europe
